Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée,Nature,Malveillant,algorithme,random_forest_confidence,gradient_boosting_confidence
2022,18788,13,13112,Velaux,7/3/22 16:48,95400,95400,,,,,,,,,,1,,,,,,Involontaire (particulier),0,0.338983051,0.3307278610073031,0.2455564482412517
2023,14323,66,66143,Planèzes,6/5/23 18:41,20,20,0,0,0,0,,,,,Estimées,,Non,,,,,Naturelle,0,0.034482759,0.30162466432525487,0.26283539188806065
2022,6695,56,56126,Marzan,8/8/22 11:43,200000,0,,200000,,,50000,150000,0,150000,Estimées,,,,,,,Involontaire (travaux),0,0.120967742,0.3056257263303876,0.22570255694792477
2023,1086,7,7184,Pranles,3/26/23 15:14,1500,1500,0,0,0,0,,,,,Estimées,3,Non,,,,,Involontaire (travaux),0,0.223529412,0.30927520744114295,0.217407522
2024,21740,48,48088,La Malène,8/13/24 19:00,20,0,20,0,0,0,,,,,Estimées,,Non,,,,,Naturelle,0,0.09375,0.28898715518260076,0.087925651
2024,29241,976,97610,Koungou,12/11/24 7:00,50000,50000,,0,0,0,,,,,Estimées,,Non,,,,,Malveillance,1,0.337662338,0.29930945009332904,0.23425802718726743
2024,20651,11,11125,Embres-et-Castelmaure,3/21/24 15:33,11800,0,11800,0,0,0,,,,,Mesurées,1,Non,,,,,Involontaire (travaux),0,0.128205128,0.32397246011146064,0.28884692
2024,22284,11,11325,Rouffiac-d'Aude,7/26/24 18:12,1050,1050,0,0,0,0,,,,,Mesurées,,Non,,,,,Malveillance,1,0.177777778,0.3086687631168312,0.30992375228871355
2022,972,15,15106,Lieutadès,5/12/22 14:35,250000,250000,,0,,,0,0,0,0,Estimées,,,,,,,Involontaire (particulier),0,0.12605042,0.2882407474944498,0.19589930753968451
2023,4761,13,13063,Miramas,5/7/23 19:11,10,10,0,0,0,0,,,,,Estimées,1,Non,,,,,Malveillance,1,0.054054054,0.33938236552720613,0.2715185408072321
2023,21709,83,83085,La Motte,8/1/23 19:16,100,0,100,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Accidentelle,0,0.080645161,0.24573578046218522,0.1748258219963251
